Apelido,Passe Certo,Passe Errado,Interceptação,Chute Gol,Chute Fora,Chute Bloq,Bloqueio,Chute Trave,Drible Certo,Drible Sofrido,Drible Errado,Drible Evitado,Dividida Ganha,Dividida Perdida,Desarme,Fair Play,Falta Feita,Falta Sofrida,Penalti Feito,Penalti Sofrido,Gol Penalti,Penalti Perdido,Mão,Perda de Bola,Gol Perdido,Falha na Defesa,Assist,Gol,Pifada,Lança,Lança Errado
IR,20,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,12,3
DJ,65,14,14,6,6,,11,1,1,3,,,1,,2,,,,,,,,,2,2,1,2,2,6,,2
RM,53,12,7,2,7,3,8,2,1,1,4,,2,1,,,,,,,,,,2,1,,2,2,5,,2
SW,27,5,6,3,4,1,3,,,,2,2,1,,2,,1,,,,,,,2,3,2,1,,2,,
TA,38,7,10,7,4,5,3,,2,2,3,2,,2,1,,1,,,,,,,4,1,1,,6,3,1,
TD,20,6,9,3,3,1,1,,,,,1,1,,2,,,,,,,,,1,4,,2,1,1,1,
RK,87,10,8,6,4,6,1,,,1,,1,,1,,,,,,,,,,1,,2,,,,3,2
AF,24,2,1,2,1,4,1,,,1,,2,,1,1,,,,,,,,,3,,5,1,1,1,,1
FR,81,12,9,5,5,5,3,1,1,,2,,1,2,1,,,,,,,,,7,1,3,,2,,1,
RN,82,13,12,3,4,2,,,4,,1,2,1,1,2,,,,,,,,,4,,2,,1,,,
GB,82,9,10,3,7,4,4,,1,2,,3,,,1,,,1,,,,,1,1,,5,1,,,,3
FX,51,6,6,4,1,5,1,,,,3,,1,,,,,1,,,,,,5,,1,1,1,2,,
